"","shape_id","Positive","Negative"
"214",121445,56,-56
"215",121446,59.77,-59.77
"216",121447,52.33,-52.33
"217",121448,53.83,-53.83
"218",121449,76.37,-76.37
"219",121450,56,-56
"220",121451,56,-56
"221",121452,76.37,-76.37
"222",121453,94.92,-94.92
"223",121454,89.91,-89.91
"224",121455,57.32,-64.02
"225",121456,23.77,-20.26
"226",121457,75.72,-70.72
"227",121458,17.44,-17.44
"228",121459,129.42,-32.86
"229",121460,15.92,-34.93
"230",121461,232.52,-321.23
"231",121462,181.76,-185.12
"232",121463,300.78,-297.43
"233",121464,235.52,-238.87
"234",121465,202.1,-187.58
"235",121466,239.61,-239.61
"236",121467,280.22,-280.22
"237",121468,237.37,-237.37
"238",121469,85.87,-66.8
"239",121470,103,-100.44
"240",121471,108.49,-108.49
"241",121472,94.38,-105.35
"242",121473,99.87,-99.87
"243",121474,74.06,-86.53
"244",121475,129.58,-129.58
"245",121476,94.88,-94.88
"246",121477,100.37,-100.37
"247",121478,90.09,-61.09
"248",121479,90.09,-90.94
"249",121480,24.5,-53.16
"250",121481,99.09,-96.77
"251",121482,88.74,-90.55
"252",121483,15.82,-15.82
"253",121484,90.65,-90.56
"254",121485,24.81,-32.83
"255",121486,28.45,-18.71
"256",121487,28.55,-29.68
"257",121488,191.37,-73.41
"258",121489,367.83,-420.82
"259",121490,89.85,-119.46
"260",121491,199.35,-153.95
"261",121492,299.19,-329.95
"262",121493,126.35,-140.62
"263",121494,89.01,-99.29
"264",121495,95.66,-97.01
"265",121496,95.97,-92.6
"266",121497,68.49,-73.38
"267",121498,69.3,-69.96
"268",121499,70.66,-90.6
"269",121500,362.87,-362.87
"270",121501,197.04,-197.04
"271",121502,296.52,-296.52
"272",121503,86.79,-86.79
"273",121504,118.43,-118.43
"274",121505,118.43,-118.43
"275",121506,93.9,-93.9
"276",121507,37.33,-37.33
"277",121508,69.14,-69.14
"278",121509,66.24,-66.24
"279",121510,91.31,-61.89
"280",121511,93.04,-93.78
"281",121512,56.45,-59.6
"282",121513,77.77,-109.15
"283",121514,103.19,-100.92
"284",121515,99.19,-99.19
"285",121516,63.06,-60.33
"286",121517,81.07,-83.8
"287",121518,68.21,-68.21
"288",121519,87.49,-86.11
"289",121522,77.45,-76.74
"290",121523,83.34,-83.83
"291",121524,94.75,-96.35
"292",121526,62.62,-62.62
"293",121527,85.33,-85.33
"294",121530,194,-166.83
"295",121532,162.93,-162.42
"296",121533,213.06,-213.06
"297",121534,169.24,-194.19
"298",121536,193.73,-194.86
"299",121537,236.54,-235.41
"300",121538,184.18,-184.18
"301",121539,87.74,-60.55
"302",121540,119.06,-112.23
"303",121541,105.32,-115.07
"304",121542,60.92,-84.34
"305",121543,117.28,-117.28
"306",121544,103.14,-103.14
"307",121545,103.14,-103.14
"308",121546,127.88,-108.22
"309",121547,108.09,-108.09
"310",121548,89.79,-98.65
"311",121549,85.7,-86.69
"312",121550,94.62,-104.43
"313",121551,46.14,-46.14
"314",121552,46.14,-46.14
"315",121553,38.37,-38.37
"316",121554,84.05,-84.05
"317",121555,88.05,-77.53
"318",121556,87.64,-87.64
"319",121557,76.22,-86.74
"320",121558,86.89,-86.89
"321",121559,208.12,-151.87
"322",121560,208.22,-208.22
"323",121561,161.92,-222.38
"324",121562,224.46,-221
"325",121563,396.95,-254.8
"326",121564,396.95,-396.95
"327",121565,159.16,-243.62
"328",121566,162.96,-162.96
"329",121567,301.83,-217.37
"330",121568,280.19,-280.19
"331",121569,174.75,-277.71
"332",121570,159.49,-140.66
"333",121571,342.33,-403.63
"334",121572,161.29,-161.29
"335",121573,97.63,-97.63
"336",121574,314.32,-314.32
"337",121575,266.17,-227.82
"338",121576,80.59,-51.99
"339",121577,264.68,-289.59
"340",121578,264.3,-239.39
"341",121579,250.05,-250.63
"342",121580,266.75,-294.77
"343",121581,279.51,-275.82
"344",121582,200,-186.56
"345",121583,200.58,-200.58
"346",121584,262.67,-257.87
"347",121585,280.75,-311.64
"348",121586,248.4,-217.51
"349",121587,268.74,-298.77
"350",121588,250.16,-218.37
"351",121589,263.23,-264.99
"352",121590,244.18,-242.42
"353",121591,264.68,-284.68
"354",121592,258.7,-258.7
"355",121593,166.4,-208.44
"356",121594,229.07,-229.07
"357",121595,229.54,-229.54
"358",121596,260.79,-260.79
"359",121597,260.79,-260.79
"360",121598,270.89,-270.89
"361",121599,318.51,-318.51
"362",121600,270.89,-270.89
"363",121601,243.79,-243.79
"364",121602,257.11,-257.11
"365",121603,257.11,-257.11
"366",121604,281.92,-281.92
"367",121605,257.11,-257.11
"368",121606,199.32,-199.32
"369",121607,251.13,-251.13
"370",121608,295.74,-295.74
"371",121609,304.26,-304.26
"372",121610,138.11,-106.72
"373",121611,119.37,-147.48
"374",121612,145.04,-148.5
"375",121613,81.16,-59.69
"376",121614,81.3,-79.57
"377",121615,69.58,-71.31
"378",121616,73.99,-92.1
"379",121617,80.52,-80.42
"380",121618,89.56,-93.02
"381",121619,95.6,-92.14
"382",121620,87.73,-91.19
"383",121621,97.45,-74.51
"384",121622,24.18,-53.68
"385",121623,78.64,-74.12
"386",121624,123.51,-98.75
"387",121625,55.99,-80.75
"388",121626,117.19,-92.43
"389",121627,99.06,-99.06
"390",121628,99.06,-99.06
"391",121629,77.07,-99.79
"392",121630,34.98,-34.98
"393",121631,109.13,-109.13
"394",121632,63.33,-59.97
"395",121633,96.92,-100.28
"396",121634,85.02,-85.02
"397",121635,163.35,-94.67
"398",121636,210.37,-181.1
"399",121637,194.59,-214.58
"400",121638,194.59,-194.59
