"","trip_id","distance","end","start","trip_duration"
"399","1097210",6.8386228147,"17:50:00","17:27:00",1380
"400","1097211",6.8386228147,"16:50:00","16:27:00",1380
"401","1097212",6.8386228147,"15:50:00","15:27:00",1380
"402","1097213",6.8386228147,"14:50:00","14:27:00",1380
"403","1097214",6.8386228147,"13:50:00","13:27:00",1380
"404","1097215",6.8386228147,"12:50:00","12:27:00",1380
"405","1097216",6.8386228147,"11:50:00","11:27:00",1380
"406","1097217",6.8386228147,"10:50:00","10:27:00",1380
"407","1097218",6.8386228147,"9:50:00","9:27:00",1380
"408","1097219",6.8386228147,"8:50:00","8:27:00",1380
"409","1097220",6.8386228147,"7:50:00","7:27:00",1380
"410","1097221",6.8386228147,"6:50:00","6:27:00",1380
"411","1097222",6.0169839414,"20:23:00","20:05:00",1080
"412","1097223",6.0169839414,"19:23:00","19:05:00",1080
"413","1097224",6.0169839414,"18:23:00","18:05:00",1080
"414","1097225",6.0169839414,"17:23:00","17:05:00",1080
"415","1097226",6.0169839414,"16:23:00","16:05:00",1080
"416","1097227",6.0169839414,"15:23:00","15:05:00",1080
"417","1097228",6.0169839414,"14:23:00","14:05:00",1080
"418","1097229",6.0169839414,"13:23:00","13:05:00",1080
"419","1097230",6.0169839414,"12:23:00","12:05:00",1080
"420","1097231",6.0169839414,"11:23:00","11:05:00",1080
"421","1097232",6.0169839414,"10:23:00","10:05:00",1080
"422","1097233",6.0169839414,"9:23:00","9:05:00",1080
"423","1097234",6.0169839414,"8:23:00","8:05:00",1080
"424","1097235",6.0169839414,"7:23:00","7:05:00",1080
"425","1097236",6.8386228147,"20:46:00","20:23:00",1380
"426","1097237",6.8386228147,"19:50:00","19:27:00",1380
"427","1097238",6.8386228147,"18:50:00","18:27:00",1380
"428","1097239",6.8386228147,"17:50:00","17:27:00",1380
"429","1097240",6.8386228147,"16:50:00","16:27:00",1380
"430","1097241",6.8386228147,"15:50:00","15:27:00",1380
"431","1097242",6.8386228147,"14:50:00","14:27:00",1380
"432","1097243",6.8386228147,"13:50:00","13:27:00",1380
"433","1097244",6.8386228147,"12:50:00","12:27:00",1380
"434","1097245",6.8386228147,"11:50:00","11:27:00",1380
"435","1097246",6.8386228147,"10:50:00","10:27:00",1380
"436","1097247",6.8386228147,"9:50:00","9:27:00",1380
"437","1097248",6.8386228147,"8:50:00","8:27:00",1380
"438","1097249",6.8386228147,"7:50:00","7:27:00",1380
"439","1097250",6.0169839414,"24:53:00","24:35:00",1080
"440","1097251",6.0169839414,"23:23:00","23:05:00",1080
"441","1097252",6.0169839414,"21:53:00","21:35:00",1080
"442","1097253",6.0169839414,"20:23:00","20:05:00",1080
"443","1097254",6.0169839414,"19:23:00","19:05:00",1080
"444","1097255",6.0169839414,"18:23:00","18:05:00",1080
"445","1097256",6.0169839414,"17:23:00","17:05:00",1080
"446","1097257",6.0169839414,"16:23:00","16:05:00",1080
"447","1097258",6.0169839414,"15:23:00","15:05:00",1080
"448","1097259",6.0169839414,"14:23:00","14:05:00",1080
"449","1097260",6.0169839414,"13:23:00","13:05:00",1080
"450","1097261",6.0169839414,"12:23:00","12:05:00",1080
"451","1097262",6.0169839414,"11:23:00","11:05:00",1080
"452","1097263",6.0169839414,"10:23:00","10:05:00",1080
