route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10901,11,1211657,334 - HOPE ST-Stamford Trans Ctr,1,91380,122608
10901,11,1211658,334 - HOPE ST-Stamford Trans Ctr,1,91378,122608
10901,11,1211659,334 - HOPE ST-Stamford Trans Ctr,1,91379,122608
10901,11,1211660,334 - HOPE ST-Stamford Trans Ctr,1,91378,122608
10901,11,1211661,334 - HOPE ST-Stamford Trans Ctr,1,91379,122608
10901,11,1211662,334 - HOPE ST-Stamford Trans Ctr,1,91380,122608
10901,11,1211663,334 - HOPE ST-Stamford Trans Ctr,1,91378,122608
10901,11,1211664,334 - HOPE ST-Stamford Trans Ctr,1,91379,122608
10901,11,1211665,334 - HOPE ST-Stamford Trans Ctr,1,91380,122608
10901,11,1211666,334 - HOPE ST-Stamford Trans Ctr,1,91378,122608
10901,11,1211667,334 - HOPE ST-Stamford Trans Ctr,1,91379,122608
10901,11,1211668,334 - HOPE ST-Stamford Trans Ctr,1,91380,122608
10901,11,1211669,334 - HOPE ST-Stamford Trans Ctr,1,91378,122608
10901,11,1211670,334 - HOPE ST-Stamford Trans Ctr,1,91379,122608
10901,11,1211671,334 - HOPE ST-Stamford Trans Ctr,1,91380,122608
10901,11,1211672,334 - HOPE ST-Stamford Trans Ctr,1,91378,122608
10901,11,1211673,334 - HOPE ST-Stamford Trans Ctr,1,91379,122608
10901,11,1211674,334 - HOPE ST-Stamford Trans Ctr,1,91380,122607
10901,11,1211675,334 - HOPE ST-Stamford Trans Ctr,1,91380,122608
10901,11,1211676,334 - HOPE ST-Stamford Trans Ctr,1,91409,122603
10901,12,1211677,334 - HOPE ST-Stamford Trans Ctr,1,91391,122602
10901,12,1211678,334 - HOPE ST-Stamford Trans Ctr,1,91391,122603
10901,12,1211679,334 - HOPE ST-Stamford Trans Ctr,1,91391,122602
10901,12,1211680,334 - HOPE ST-Stamford Trans Ctr,1,91391,122603
10901,12,1211681,334 - HOPE ST-Stamford Trans Ctr,1,91391,122602
10901,12,1211682,334 - HOPE ST-Stamford Trans Ctr,1,91391,122602
10901,12,1211683,334 - HOPE ST-Stamford Trans Ctr,1,91391,122603
10901,12,1211684,334 - HOPE ST-Stamford Trans Ctr,1,91391,122602
10901,12,1211685,334 - HOPE ST-Stamford Trans Ctr,1,91391,122603
10901,12,1211686,334 - HOPE ST-Stamford Trans Ctr,1,91391,122602
10901,12,1211687,334 - HOPE ST-Stamford Trans Ctr,1,91391,122602
10901,10,1211688,334 - HOPE ST-Springdale,0,91415,122601
10901,10,1211689,334 - HOPE ST-Springdale,0,91414,122601
10901,10,1211690,334 - HOPE ST-Springdale via River Bend Park,0,91413,122600
10901,10,1211691,334 - HOPE ST-Springdale via River Bend Park,0,91416,122600
10901,10,1211692,334 - HOPE ST-Springdale,0,91416,122601
10901,10,1211693,334 - HOPE ST-Springdale,0,91415,122601
10901,10,1211694,334 - HOPE ST-Springdale,0,91414,122601
10901,10,1211695,334 - HOPE ST-Springdale,0,91416,122601
10901,10,1211696,334 - HOPE ST-Springdale,0,91415,122601
10901,10,1211697,334 - HOPE ST-Springdale,0,91414,122601
10901,10,1211698,334 - HOPE ST-Springdale,0,91416,122601
10901,10,1211699,334 - HOPE ST-Springdale,0,91403,122601
10901,10,1211700,334 - HOPE ST-Springdale,0,91415,122601
10901,10,1211701,334 - HOPE ST-Springdale,0,91414,122601
10901,10,1211702,334 - HOPE ST-Springdale,0,91416,122601
10901,10,1211703,334 - HOPE ST-Springdale,0,91403,122601
10901,10,1211704,334 - HOPE ST-Springdale,0,91415,122601
10901,10,1211705,334 - HOPE ST-Springdale,0,91414,122601
10901,10,1211706,334 - HOPE ST-Springdale,0,91416,122601
10901,10,1211707,334 - HOPE ST-Springdale,0,91403,122601
10901,10,1211708,334 - HOPE ST-Springdale,0,91413,122601
10901,10,1211709,334 - HOPE ST-Springdale,0,91415,122601
10901,10,1211710,334 - HOPE ST-Springdale,0,91414,122601
10901,10,1211711,334 - HOPE ST-Springdale,0,91416,122601
10901,10,1211712,334 - HOPE ST-Springdale,0,91415,122601
10901,10,1211713,334 - HOPE ST-Springdale,0,91414,122601
10901,10,1211714,334 - HOPE ST-Springdale via River Bend Park,0,91416,122600
10901,10,1211715,334 - HOPE ST-Springdale via River Bend Park,0,91415,122600
10901,10,1211716,334 - HOPE ST-Springdale via River Bend Park,0,91414,122600
10901,10,1211717,334 - HOPE ST-Stamford Trans Ctr,1,91415,122605
10901,10,1211718,334 - HOPE ST-Stamford Trans Ctr,1,91414,122605
