"","trip_id","distance","end","start","trip_duration"
"10347","1206433",34.8748,"6:52:00","5:58:00",3240
"10348","1206434",34.6788,"8:19:00","7:10:00",4140
"10349","1206435",34.6788,"9:19:00","8:10:00",4140
"10350","1206436",34.6788,"9:54:00","9:00:00",3240
"10351","1206437",34.162,"10:52:00","10:00:00",3120
"10352","1206438",34.162,"16:00:00","15:00:00",3600
"10353","1206439",34.162,"17:00:00","16:00:00",3600
"10354","1206440",34.162,"18:08:00","17:00:00",4080
"10355","1206441",34.162,"19:00:00","18:00:00",3600
"10356","1206442",34.162,"12:52:00","12:00:00",3120
"10357","1206443",34.162,"13:52:00","13:00:00",3120
"10358","1206444",34.162,"19:50:00","19:00:00",3000
"10359","1206445",34.162,"14:52:00","14:00:00",3120
"10360","1206446",35.3917,"7:49:00","6:38:00",4260
"10361","1206447",34.6788,"8:49:00","7:40:00",4140
"10362","1206448",10.247,"6:29:00","6:05:00",1440
"10363","1206449",10.247,"7:54:00","7:30:00",1440
"10364","1206450",10.247,"9:02:00","8:35:00",1620
"10365","1206451",10.247,"10:02:00","9:35:00",1620
"10366","1206452",10.247,"11:02:00","10:35:00",1620
"10367","1206453",10.247,"12:02:00","11:35:00",1620
"10368","1206454",10.247,"13:02:00","12:35:00",1620
"10369","1206455",10.247,"14:02:00","13:35:00",1620
"10370","1206456",10.247,"15:02:00","14:35:00",1620
"10371","1206457",10.247,"16:02:00","15:35:00",1620
"10372","1206458",10.247,"17:34:00","17:10:00",1440
"10373","1206459",15.8677,"7:11:00","6:40:00",1860
"10374","1206460",11.1059,"8:32:00","8:05:00",1620
"10375","1206461",11.1059,"9:32:00","9:05:00",1620
"10376","1206462",11.1059,"10:32:00","10:05:00",1620
"10377","1206463",11.1059,"11:32:00","11:05:00",1620
"10378","1206464",11.1059,"12:32:00","12:05:00",1620
"10379","1206465",11.1059,"13:32:00","13:05:00",1620
"10380","1206466",11.1059,"14:32:00","14:05:00",1620
"10381","1206467",11.1059,"15:32:00","15:05:00",1620
"10382","1206468",11.1059,"16:32:00","16:05:00",1620
"10383","1206469",10.6413,"18:39:00","18:15:00",1440
"10384","1206470",11.0474,"7:03:00","6:35:00",1680
"10385","1206471",11.0474,"8:30:00","7:58:00",1920
"10386","1206472",11.0474,"9:38:00","9:08:00",1800
"10387","1206473",11.0474,"10:38:00","10:08:00",1800
"10388","1206474",11.0474,"11:38:00","11:08:00",1800
"10389","1206475",11.0474,"12:38:00","12:08:00",1800
"10390","1206476",11.0474,"13:38:00","13:08:00",1800
"10391","1206477",11.0474,"14:38:00","14:08:00",1800
"10392","1206478",11.0474,"15:38:00","15:08:00",1800
"10393","1206479",11.0474,"16:38:00","16:08:00",1800
"10394","1206480",16.2838,"7:48:00","7:13:00",2100
"10395","1206481",14.4219,"9:08:00","8:34:00",2040
"10396","1206482",14.4219,"10:08:00","9:34:00",2040
"10397","1206483",14.4219,"11:08:00","10:34:00",2040
"10398","1206484",14.4219,"12:08:00","11:34:00",2040
"10399","1206485",14.4219,"13:08:00","12:34:00",2040
"10400","1206486",14.4219,"14:08:00","13:34:00",2040
"10401","1206487",14.4219,"15:08:00","14:34:00",2040
"10402","1206488",14.4219,"16:08:00","15:34:00",2040
"10403","1206489",14.4219,"17:08:00","16:34:00",2040
